,id,integralizacao,media_programacao,media_matematica,media_NE,media_NC,reprovacoes_programacao,reprovacoes_matematica,reprovacoes_NE,reprovacoes_NC,quantidade_trancamentos
294,59,2,5.7,1.2,5.562500000000001,4.85,7.0,1.0,5.0,3.0,0
295,59,3,6.6499999999999995,,6.6499999999999995,,2.0,,2.0,,0
296,59,5,5.807142857142858,,6.328571428571429,5.8125,5.0,,1.0,4.0,0
297,59,6,5.3,5.0,5.033333333333333,5.466666666666666,2.0,1.0,1.0,2.0,0
298,60,0,6.8999999999999995,3.9,,6.15,0.0,1.0,,1.0,4
299,60,1,4.20909090909091,3.15,3.7,4.180000000000001,9.0,3.0,1.0,11.0,4
300,60,2,5.316666666666666,6.1,4.642857142857143,6.233333333333333,9.0,0.0,6.0,3.0,4
301,60,3,7.1000000000000005,6.8,7.65,7.5,0.0,0.0,0.0,0.0,4
302,60,4,4.288888888888889,2.4,2.266666666666667,6.85,5.0,1.0,5.0,1.0,4
303,60,6,6.9363636363636365,3.3,7.1499999999999995,5.6,2.0,1.0,1.0,2.0,4
304,60,7,6.366666666666667,6.0,6.075000000000001,6.633333333333333,2.0,0.0,2.0,0.0,4
305,60,8,3.8000000000000003,,3.8000000000000003,,2.0,,2.0,,4
306,61,0,8.366666666666665,7.6,,8.175,0.0,0.0,,0.0,0
307,61,2,9.3,8.15,,8.78,0.0,0.0,,0.0,0
308,61,3,8.25,7.4,,8.08,0.0,0.0,,0.0,0
309,61,4,7.0200000000000005,,7.3,6.95,0.0,,0.0,0.0,0
310,61,5,7.7799999999999985,,7.549999999999999,8.7,1.0,,1.0,0.0,0
311,61,6,7.4,,7.4750000000000005,7.1,1.0,,1.0,0.0,0
312,61,7,8.016666666666667,,8.18,7.2,0.0,,0.0,0.0,0
313,61,9,8.533333333333335,,8.0,9.05,0.0,,0.0,0.0,0
314,62,0,9.000000000000002,5.9,,8.225000000000001,0.0,1.0,,1.0,0
315,62,1,8.35,7.25,,7.640000000000001,0.0,0.0,,0.0,0
316,62,3,7.311111111111111,7.2,5.9,7.455555555555557,2.0,0.0,1.0,1.0,0
317,62,4,7.140000000000001,,6.9,8.1,0.0,,0.0,0.0,0
318,62,5,7.016666666666666,,7.0,7.1,2.0,,2.0,0.0,0
319,62,7,7.971428571428572,,7.883333333333334,8.5,1.0,,1.0,0.0,0
320,62,8,8.48,,8.05,8.825,0.0,,0.0,0.0,0
321,63,0,4.833333333333333,6.0,,5.125,2.0,0.0,,2.0,0
322,63,1,4.946153846153846,3.3333333333333335,2.1,4.824999999999999,8.0,3.0,1.0,11.0,0
323,63,2,5.2,,4.442857142857142,6.525,6.0,,5.0,1.0,0
324,63,3,6.133333333333334,,5.866666666666667,6.666666666666667,4.0,,4.0,0.0,0
325,63,5,6.116666666666667,7.6,7.75,5.449999999999999,3.0,0.0,1.0,2.0,0
326,63,6,8.175,,8.133333333333333,8.3,0.0,,0.0,0.0,0
327,64,0,2.6625,4.46,1.9000000000000001,3.3000000000000007,15.0,4.0,3.0,17.0,4
328,64,1,9.5,,,7.75,0.0,,,0.0,4
329,65,0,3.6999999999999997,5.05,,4.1499999999999995,4.0,2.0,,6.0,1
330,66,0,6.0,9.0,,6.75,1.0,0.0,,1.0,0
